Date,Open,High,Low,Close,Adj Close,Volume
2017-07-23,555.885986,578.971008,411.776001,413.059998,413.059998,85013
2017-07-24,412.579987,578.892029,409.210999,440.700989,440.700989,190952
2017-07-25,441.345001,541.658020,338.091003,406.897003,406.897003,524908
2017-07-26,407.082001,486.158997,321.791992,365.816010,365.816010,1784640
2017-07-27,417.097992,460.968994,367.777008,385.479004,385.479004,533207
2017-07-28,386.647003,465.181000,217.059998,406.045990,406.045990,1230160
2017-07-29,410.565002,423.730988,323.730011,384.773010,384.773010,737815
2017-07-30,385.140015,385.140015,316.252014,345.661011,345.661011,606695
2017-07-31,346.364014,347.825012,266.187988,294.460999,294.460999,1075960
2017-08-01,294.601990,426.109985,210.384995,380.010010,380.010010,65988800
2017-08-02,382.377014,756.932007,309.334015,452.657013,452.657013,416207008
2017-08-03,448.485992,519.276978,364.048004,364.048004,364.048004,161518000
2017-08-04,362.183014,386.932007,233.046005,233.046005,233.046005,185038000
2017-08-05,231.108994,273.036011,200.977997,213.147003,213.147003,144043008
2017-08-06,212.175995,223.703995,203.445007,220.656006,220.656006,107606000
2017-08-07,223.755997,373.872009,223.755997,319.688995,319.688995,346545984
2017-08-08,321.350006,386.294006,309.610992,345.488007,345.488007,274880000
2017-08-09,345.279999,349.316986,298.608002,303.890991,303.890991,165032000
2017-08-10,305.210999,311.683014,274.678986,275.953003,275.953003,136636992
2017-08-11,275.881012,351.157013,275.023987,328.242004,328.242004,233971008
2017-08-12,327.819000,341.847992,313.704010,317.091003,317.091003,126007000
2017-08-13,316.286011,317.472992,298.053009,298.053009,298.053009,120722000
2017-08-14,296.097992,327.390015,293.497009,297.678009,297.678009,174968000
2017-08-15,298.184998,306.520996,292.877014,297.864014,297.864014,133924000
2017-08-16,297.970001,307.615997,290.207001,300.209991,300.209991,106436000
2017-08-17,301.020996,460.529999,293.096008,460.529999,460.529999,744604992
2017-08-18,458.670013,764.073975,458.670013,690.239990,690.239990,3087490048
2017-08-19,697.044006,1091.969971,625.161011,754.557983,754.557983,3196229888
2017-08-20,772.418030,858.960999,683.940979,712.872986,712.872986,1494019968
2017-08-21,723.700989,756.590027,573.473022,599.635010,599.635010,1123399936
2017-08-22,596.193970,734.880005,570.270020,690.882996,690.882996,1393260032
2017-08-23,690.960022,715.671997,651.317017,669.400024,669.400024,501983008
2017-08-24,670.028015,697.322021,617.310974,628.109009,628.109009,407176992
2017-08-25,627.062988,665.414978,624.299011,641.054993,641.054993,348632000
2017-08-26,641.882019,646.932007,622.361023,625.320984,625.320984,193414000
2017-08-27,625.892029,654.872009,589.635010,620.895996,620.895996,402718016
2017-08-28,619.697998,626.877991,595.521973,596.177002,596.177002,216272992
2017-08-29,596.130005,599.302979,528.315002,552.927002,552.927002,370016992
2017-08-30,549.315979,604.687012,535.916016,575.206970,575.206970,443856000
2017-08-31,576.250977,603.690979,572.138977,588.172974,588.172974,298144000
2017-09-01,588.398010,645.523987,586.731018,622.168030,622.168030,393839008
2017-09-02,621.963013,642.049011,560.583984,575.901978,575.901978,350478016
2017-09-03,578.265991,617.408020,563.591980,607.432983,607.432983,344862016
